              Planeta  Zonas Estables  Zonas Inestables  Zonas Colisión m2  Área Estable (km²)  Área Inestable (km²)  Área Colisión m2 (km²)
          HD 155918 c             990              9008                  2            6.16e+16              5.61e+17                1.24e+14
          HD 156279 b             746              9250                  4            6.73e+13              8.35e+14                3.61e+11
          HD 156279 c             817              9180                  3            8.80e+15              9.89e+16                3.23e+13
          HD 159243 b             705              9294                  1            3.05e+12              4.03e+13                4.33e+09
          HD 159243 c             843              9156                  1            1.93e+14              2.10e+15                2.29e+11
          HD 159868 b             870              9127                  3            1.68e+15              1.76e+16                5.78e+12
          HD 159868 c             578              9416                  6            2.20e+14              3.59e+15                2.29e+12
          HD 160691 b             908              9091                  1            7.32e+14              7.32e+15                8.06e+11
          HD 160691 c             921              9079                  0            5.73e+15              5.65e+16                0.00e+00
          HD 160691 d             120              9865                 15            3.89e+11              3.20e+13                4.87e+10
          HD 160691 e             765              9231                  4            2.52e+14              3.05e+15                1.32e+12
          HD 163607 b             603              9393                  4            2.83e+13              4.41e+14                1.88e+11
          HD 163607 c             878              9118                  4            1.80e+15              1.86e+16                8.18e+12
          HD 164922 b             453              9535                 12            7.57e+14              1.59e+16                2.00e+13
          HD 164922 c             150              9833                 17            6.25e+12              4.09e+14                7.08e+11
          HD 164922 d              93              9888                 19            3.53e+11              3.76e+13                7.22e+10
          HD 164922 e             136              9843                 21            2.56e+12              1.85e+14                3.95e+11
          HD 168443 b             959              9039                  2            2.93e+13              2.76e+14                6.11e+10
          HD 183263 b             927              9070                  3            7.08e+14              6.92e+15                2.29e+12
          HD 183263 c             460              9536                  4            5.14e+15              1.07e+17                4.47e+13
          HD 187123 b             516              9476                  8            3.35e+11              6.16e+12                5.20e+09
          HD 187123 c             913              9086                  1            7.82e+15              7.78e+16                8.56e+12
          HD 189567 b             126              9859                 15            5.56e+11              4.35e+13                6.62e+10
          HD 189567 c             116              9870                 14            1.61e+12              1.37e+14                1.95e+11
          HD 190360 b             845              9154                  1            4.75e+15              5.15e+16                5.62e+12
          HD 190360 c             205              9787                  8            1.23e+12              5.89e+13                4.81e+10
          HD 191939 b             142              9843                 15            3.29e+11              2.28e+13                3.47e+10
          HD 191939 c             124              9864                 12            1.36e+12              1.08e+14                1.32e+11
          HD 191939 d              89              9888                 23            1.45e+12              1.61e+14                3.74e+11
          HD 191939 e             477              9515                  8            2.83e+13              5.64e+14                4.75e+11
          HD 191939 f             929              9066                  5            4.58e+15              4.47e+16                2.46e+13
          HD 191939 g             169              9820                 11            3.99e+13              2.32e+15                2.60e+12
          HD 196067 b             701              9296                  3            5.57e+15              7.38e+16                2.38e+13
           HD 20003 b             148              9834                 18            5.03e+11              3.34e+13                6.11e+10
           HD 20003 c             166              9823                 11            2.29e+12              1.36e+14                1.52e+11
          HD 200964 b             744              9254                  2            6.53e+14              8.12e+15                1.75e+12
          HD 200964 c             667              9331                  2            9.18e+14              1.28e+16                2.75e+12
          HD 204313 b             975              9023                  2            3.54e+15              3.28e+16                7.26e+12
          HD 204313 c             169              9820                 11            2.69e+12              1.57e+14                1.75e+11
           HD 20782 b             803              9195                  2            5.36e+14              6.13e+15                1.33e+12
          HD 207832 b             526              9470                  4            6.47e+13              1.16e+15                4.92e+11
          HD 207832 c             599              9397                  4            9.57e+14              1.50e+16                6.39e+12
           HD 20794 b              89              9888                 23            5.04e+11              5.59e+13                1.30e+11
           HD 20794 d             102              9875                 23            4.80e+12              4.65e+14                1.08e+12
           HD 20794 e             102              9874                 24            9.46e+12              9.16e+14                2.23e+12
           HD 20794 f             110              9877                 13            7.22e+13              6.48e+15                8.54e+12
          HD 213885 b             116              9869                 15            1.68e+10              1.43e+12                2.17e+09
          HD 213885 c             179              9803                 18            2.07e+11              1.13e+13                2.08e+10
           HD 21693 b             126              9860                 14            9.55e+11              7.47e+13                1.06e+11
           HD 21693 c             188              9796                 16            4.50e+12              2.35e+14                3.83e+11
          HD 217107 b             790              9209                  1            1.53e+12              1.79e+13                1.94e+09
          HD 217107 c             959              9039                  2            1.20e+16              1.14e+17                2.51e+13
          HD 219828 b             178              9808                 14            1.53e+11              8.43e+12                1.20e+10
          HD 224018 b              91              9888                 21            2.95e+11              3.21e+13                6.82e+10
          HD 224018 c             126              9860                 14            2.12e+12              1.66e+14                2.36e+11
          HD 224018 d              91              9891                 18            9.15e+12              9.95e+14                1.81e+12
           HD 24040 b             970              9028                  2            8.41e+15              7.83e+16                1.73e+13
           HD 24040 c             308              9686                  6            1.86e+14              5.86e+15                3.63e+12
           HD 28185 b             991              9007                  2            3.79e+14              3.45e+15                7.66e+11
           HD 28185 c             782              9215                  3            2.02e+16              2.38e+17                7.76e+13
           HD 28471 b              89              9888                 23            5.62e+10              6.25e+12                1.45e+10
           HD 28471 c             102              9878                 20            1.54e+11              1.49e+13                3.03e+10
           HD 28471 d              98              9885                 17            3.51e+11              3.54e+13                6.09e+10
           HD 30177 b             803              9196                  1            3.73e+15              4.28e+16                4.65e+12
           HD 30177 c             719              9279                  2            2.71e+16              3.50e+17                7.54e+13
           HD 31527 b             134              9853                 13            7.55e+11              5.55e+13                7.32e+10
           HD 31527 c             156              9831                 13            3.96e+12              2.50e+14                3.30e+11
           HD 31527 d             142              9843                 15            3.33e+13              2.31e+15                3.52e+12
           HD 34445 b             625              9369                  6            9.59e+14              1.44e+16                9.21e+12
           HD 34445 c             291              9703                  6            5.37e+13              1.79e+15                1.11e+12
           HD 34445 d             219              9771                 10            1.82e+13              8.12e+14                8.31e+11
           HD 34445 e             165              9820                 15            4.27e+12              2.54e+14                3.88e+11
           HD 34445 f             242              9747                 11            2.06e+14              8.31e+15                9.38e+12
           HD 34445 g             429              9565                  6            6.21e+15              1.39e+17                8.69e+13
           HD 37124 b             636              9358                  6            6.49e+13              9.54e+14                6.12e+11
           HD 37124 c             624              9370                  6            6.53e+14              9.81e+15                6.28e+12
           HD 37124 d             644              9351                  5            1.82e+15              2.64e+16                1.41e+13
           HD 38529 b             582              9411                  7            2.76e+12              4.46e+13                3.31e+10
           HD 38529 c             843              9153                  4            3.14e+15              3.41e+16                1.49e+13
           HD 39091 b             480              9510                 10            1.85e+15              3.66e+16                3.85e+13
            HD 4203 b             880              9119                  1            4.31e+14              4.47e+15                4.90e+11
            HD 4203 c             891              9108                  1            1.54e+16              1.58e+17                1.73e+13
           HD 43197 b             542              9449                  9            1.51e+14              2.63e+15                2.51e+12
           HD 43197 c             968              9032                  0            2.53e+16              2.36e+17                0.00e+00
           HD 45184 b             138              9844                 18            2.05e+11              1.46e+13                2.67e+10
           HD 45184 c             118              9866                 16            5.11e+11              4.27e+13                6.93e+10
           HD 47186 b             198              9789                 13            1.77e+11              8.76e+12                1.16e+10
           HD 47186 c             438              9554                  8            9.00e+14              1.96e+16                1.64e+13
           HD 48265 b             969              9029                  2            1.14e+15              1.06e+16                2.36e+12
           HD 48265 c             921              9076                  3            3.57e+16              3.52e+17                1.16e+14
           HD 50499 b             760              9238                  2            4.00e+15              4.86e+16                1.05e+13
           HD 50499 c             887              9112                  1            2.58e+16              2.65e+17                2.91e+13
           HD 51608 b             165              9821                 14            6.63e+11              3.94e+13                5.62e+10
           HD 51608 c             177              9808                 15            9.20e+12              5.10e+14                7.79e+11
            HD 5319 b             761              9236                  3            6.72e+14              8.15e+15                2.65e+12
            HD 5319 c             648              9349                  3            8.64e+14              1.25e+16                4.00e+12
           HD 63433 b             191              9793                 16            3.55e+11              1.82e+13                2.97e+10
           HD 63433 c             165              9820                 15            1.26e+12              7.50e+13                1.14e+11
           HD 63433 d              76              9897                 27            6.89e+10              8.97e+12                2.45e+10
           HD 65216 b             817              9182                  1            4.95e+14              5.57e+15                6.06e+11
           HD 65216 c             882              9117                  1            1.04e+16              1.08e+17                1.18e+13
           HD 66428 b             874              9123                  3            3.61e+15              3.77e+16                1.24e+13
           HD 66428 c             837              9161                  2            2.65e+16              2.90e+17                6.34e+13
           HD 68988 b             827              9172                  1            1.45e+12              1.61e+13                1.75e+09
           HD 72659 b             921              9076                  3            7.00e+15              6.90e+16                2.28e+13
           HD 72659 c             693              9303                  4            1.15e+17              1.54e+18                6.62e+14
           HD 73526 b             916              9082                  2            1.39e+14              1.37e+15                3.03e+11
           HD 73526 c             881              9118                  1            3.35e+14              3.46e+15                3.80e+11
           HD 74156 b             814              9184                  2            2.29e+13              2.58e+14                5.61e+10
           HD 74156 c             973              9027                  0            4.71e+15              4.37e+16                0.00e+00
           HD 74698 b             191              9796                 13            1.00e+12              5.14e+13                6.82e+10
           HD 74698 c             447              9542                 11            3.24e+15              6.92e+16                7.98e+13
           HD 75784 b             636              9359                  5            2.43e+14              3.57e+15                1.91e+12
           HD 75784 c             989              9008                  3            2.50e+16              2.28e+17                7.58e+13
           HD 80653 b              97              9885                 18            9.58e+09              9.77e+11                1.78e+09
           HD 82943 b             819              9180                  1            4.10e+14              4.60e+15                5.01e+11
           HD 82943 c             859              9140                  1            1.70e+14              1.81e+15                1.98e+11
           HD 86226 b             482              9513                  5            1.29e+15              2.54e+16                1.33e+13
           HD 86226 c             109              9877                 14            9.37e+10              8.49e+12                1.20e+10
           HD 92788 b             927              9070                  3            3.12e+14              3.06e+15                1.01e+12
           HD 92788 c             931              9066                  3            3.68e+16              3.58e+17                1.18e+14
           HD 93385 b              91              9887                 22            1.86e+11              2.02e+13                4.50e+10
           HD 93385 c             108              9874                 18            4.85e+11              4.44e+13                8.09e+10
           HD 93385 d             116              9869                 15            2.73e+12              2.33e+14                3.53e+11
         HD 93963 A b              82              9899                 19            1.25e+10              1.51e+12                2.89e+09
         HD 93963 A c             170              9817                 13            1.36e+11              7.85e+12                1.04e+10
            HD 9446 b             601              9395                  4            7.69e+12              1.20e+14                5.12e+10
            HD 9446 c             855              9144                  1            1.31e+14              1.40e+15                1.53e+11
           HD 95089 b             644              9351                  5            4.27e+14              6.19e+15                3.31e+12
           HD 95089 c             889              9110                  1            3.53e+15              3.62e+16                3.97e+12
           HD 96700 b             125              9863                 12            2.70e+11              2.13e+13                2.59e+10
           HD 96700 c              89              9886                 25            6.34e+11              7.04e+13                1.78e+11
           HD 96700 d             152              9834                 14            9.78e+12              6.33e+14                9.01e+11
          HIP 14810 b             918              9082                  0            1.59e+12              1.58e+13                0.00e+00
          HIP 14810 c             775              9224                  1            8.36e+13              9.96e+14                1.08e+11
          HIP 14810 d             549              9443                  8            7.40e+14              1.27e+16                1.08e+13
          HIP 67522 b             309              9682                  9            6.19e+11              1.94e+13                1.80e+10
          HIP 67522 c             257              9730                 13            1.39e+12              5.25e+13                7.02e+10
             K2-111 b             104              9874                 22            1.19e+11              1.13e+13                2.51e+10
             K2-111 c             147              9837                 16            7.04e+11              4.71e+13                7.66e+10
             K2-138 b              89              9889                 22            3.65e+10              4.06e+12                9.03e+09
             K2-138 c             108              9873                 19            7.70e+10              7.04e+12                1.35e+10
             K2-138 d             116              9868                 16            1.44e+11              1.23e+13                1.99e+10
             K2-138 e             149              9830                 21            3.26e+11              2.15e+13                4.60e+10
             K2-138 f              78              9902                 20            3.05e+11              3.87e+13                7.82e+10
             K2-138 g              96              9889                 15            1.84e+12              1.89e+14                2.87e+11
             K2-157 b              76              9897                 27            2.52e+09              3.28e+11                8.95e+08
             K2-157 c             238              9751                 11            2.32e+12              9.51e+13                1.07e+11
             K2-157 d             207              9788                  5            7.08e+12              3.35e+14                1.71e+11
              K2-19 b             238              9751                 11            4.78e+11              1.96e+13                2.21e+10
              K2-19 c             142              9842                 16            4.90e+11              3.40e+13                5.52e+10
              K2-19 d             108              9876                 16            4.68e+10              4.28e+12                6.93e+09
             K2-229 b              86              9891                 23            5.28e+09              6.08e+11                1.41e+09
             K2-229 c             114              9869                 17            2.41e+11              2.09e+13                3.60e+10
              K2-24 b             176              9810                 14            1.49e+12              8.33e+13                1.19e+11
              K2-24 c             153              9833                 14            3.34e+12              2.15e+14                3.06e+11
             K2-312 c             948              9050                  2            1.31e+15              1.25e+16                2.75e+12
              K2-32 b             178              9807                 15            4.03e+11              2.22e+13                3.39e+10
              K2-32 c             124              9865                 11            8.51e+11              6.77e+13                7.55e+10
              K2-32 d             114              9868                 18            1.39e+12              1.20e+14                2.19e+11
              K2-32 e              82              9897                 21            7.05e+10              8.51e+12                1.80e+10
              K2-37 b              87              9889                 24            8.12e+10              9.23e+12                2.24e+10
              K2-37 c             112              9872                 16            1.71e+11              1.51e+13                2.45e+10
              K2-37 d             156              9828                 16            6.78e+11              4.27e+13                6.96e+10
              K2-38 b             109              9876                 15            9.73e+10              8.82e+12                1.34e+10
              K2-38 c             114              9868                 18            3.69e+11              3.20e+13                5.83e+10
              K2-99 b             557              9434                  9            4.67e+12              7.91e+13                7.54e+10
              K2-99 c            1000              8994                  6            7.32e+14              6.59e+15                4.39e+12
            KOI-142 b             124              9860                 16            4.08e+11              3.24e+13                5.26e+10
            KOI-142 c             591              9403                  6            5.03e+12              8.00e+13                5.10e+10
         Kepler-101 b             271              9720                  9            2.18e+11              7.82e+12                7.24e+09
         Kepler-101 c              89              9893                 18            1.49e+11              1.66e+13                3.02e+10
         Kepler-103 b             124              9863                 13            7.85e+11              6.25e+13                8.23e+10
         Kepler-103 c             286              9709                  5            4.57e+13              1.55e+15                7.99e+11
         Kepler-129 b             170              9816                 14            1.03e+12              5.94e+13                8.47e+10
         Kepler-129 c             245              9742                 13            1.33e+13              5.31e+14                7.08e+11
         Kepler-129 d             895              9103                  2            5.13e+15              5.22e+16                1.15e+13
        Kepler-1489 b              89              9889                 22            4.31e+12              4.79e+14                1.07e+12
        Kepler-1513 b             292              9700                  8            3.39e+13              1.13e+15                9.30e+11
         Kepler-407 b              78              9896                 26            6.55e+09              8.31e+11                2.18e+09
         Kepler-407 c             777              9217                  6            2.98e+15              3.53e+16                2.30e+13
         Kepler-539 b             681              9317                  2            6.07e+13              8.30e+14                1.78e+11
         Kepler-539 c             885              9114                  1            1.86e+15              1.91e+16                2.10e+12
          Kepler-69 b             108              9876                 16            3.42e+11              3.12e+13                5.06e+10
          Kepler-69 c              95              9886                 19            1.39e+13              1.45e+15                2.79e+12
         Kepler-879 b             110              9876                 14            1.59e+12              1.43e+14                2.03e+11
          Kepler-88 d             932              9067                  1            2.03e+15              1.97e+16                2.18e+12
         Kepler-963 b             120              9865                 15            3.10e+11              2.55e+13                3.87e+10
OGLE-2012-BLG-0026L b             269              9722                  9            1.54e+15              5.57e+16                5.16e+13
OGLE-2012-BLG-0026L c             639              9356                  5            5.27e+15              7.72e+16                4.13e+13
OGLE-2019-BLG-0468L b             912              9085                  3            3.53e+15              3.52e+16                1.16e+13
OGLE-2019-BLG-0468L c             882              9115                  3            2.42e+15              2.50e+16                8.24e+12
      TIC 139270665 b             488              9504                  8            4.64e+12              9.04e+13                7.61e+10
      TIC 139270665 c             860              9138                  2            1.23e+15              1.31e+16                2.86e+12
      TIC 434398831 b             142              9842                 16            1.10e+11              7.59e+12                1.23e+10
      TIC 434398831 c             214              9781                  5            3.31e+11              1.51e+13                7.73e+09
           TOI-1062 b             133              9853                 14            1.29e+11              9.54e+12                1.36e+10
           TOI-1062 c             129              9857                 14            2.96e+11              2.26e+13                3.21e+10
           TOI-1117 b             120              9865                 15            4.68e+10              3.85e+12                5.85e+09
           TOI-1117 c             120              9864                 16            1.23e+11              1.01e+13                1.63e+10
           TOI-1117 d             136              9849                 15            3.25e+11              2.35e+13                3.59e+10
           TOI-1203 b              89              9887                 24            7.56e+10              8.39e+12                2.04e+10
          TOI-1203.01             116              9869                 15            1.11e+12              9.41e+13                1.43e+11
           TOI-1232 b             582              9413                  5            2.85e+12              4.61e+13                2.45e+10
           TOI-1232 c             299              9698                  3            4.03e+12              1.31e+14                4.04e+10
          TOI-1233.01             114              9868                 18            4.71e+11              4.08e+13                7.43e+10
           TOI-1288 b             276              9718                  6            1.38e+11              4.87e+12                3.01e+09
           TOI-1288 c             383              9607                 10            1.57e+14              3.94e+15                4.10e+12
           TOI-1386 b             271              9722                  7            2.90e+12              1.04e+14                7.50e+10
           TOI-1386 c             345              9644                 11            6.95e+13              1.94e+15                2.22e+12
           TOI-1422 b             124              9860                 16            5.08e+11              4.04e+13                6.56e+10
           TOI-1422 c             151              9834                 15            2.27e+12              1.48e+14                2.26e+11
            TOI-199 b             308              9686                  6            2.00e+13              6.28e+14                3.89e+11
            TOI-199 c             397              9594                  9            9.26e+13              2.24e+15                2.10e+12
            TOI-421 b             114              9869                 17            1.25e+11              1.08e+13                1.87e+10
            TOI-421 c             170              9819                 11            8.33e+11              4.81e+13                5.39e+10
            TOI-451 b              98              9886                 16            2.63e+10              2.66e+12                4.30e+09
            TOI-451 c              90              9885                 25            2.04e+11              2.24e+13                5.66e+10
            TOI-451 d             136              9850                 14            6.64e+11              4.81e+13                6.84e+10
           TOI-5398 b             292              9700                  8            1.00e+12              3.34e+13                2.75e+10
           TOI-5398 c             126              9859                 15            1.47e+11              1.15e+13                1.75e+10
            TOI-561 b              82              9898                 20            3.32e+09              4.01e+11                8.11e+08
            TOI-561 c             110              9878                 12            3.11e+11              2.80e+13                3.40e+10
            TOI-561 d             166              9825                  9            1.50e+12              8.86e+13                8.12e+10
            TOI-561 e             161              9823                 16            6.28e+12              3.83e+14                6.24e+11
           TOI-6041 b             229              9754                 17            2.24e+12              9.52e+13                1.66e+11
           TOI-6041 c             381              9615                  4            1.89e+13              4.77e+14                1.98e+11
           TOI-6109 b             185              9803                 12            2.38e+11              1.26e+13                1.54e+10
           TOI-6109 c             185              9800                 15            4.09e+11              2.17e+13                3.32e+10
           TOI-6695 b             291              9703                  6            1.68e+13              5.61e+14                3.47e+11
           TOI-6695 c             730              9268                  2            1.84e+14              2.33e+15                5.03e+11
           TOI-7510 b             170              9814                 16            6.32e+11              3.65e+13                5.95e+10
           TOI-7510 c             448              9541                 11            4.08e+12              8.69e+13                1.00e+11
           TOI-7510 d             539              9453                  8            1.38e+13              2.42e+14                2.05e+11
            TOI-763 b             132              9852                 16            1.70e+11              1.27e+13                2.06e+10
            TOI-763 c             126              9857                 17            4.61e+11              3.61e+13                6.22e+10
           WASP-126 b             366              9624                 10            2.64e+11              6.95e+12                7.22e+09
           WASP-148 b             398              9594                  8            9.62e+11              2.32e+13                1.93e+10
           WASP-148 c             462              9527                 11            6.91e+12              1.43e+14                1.65e+11
            WASP-47 b             736              9261                  3            7.13e+11              8.97e+12                2.90e+09
            WASP-47 c             779              9219                  2            5.41e+14              6.41e+15                1.39e+12
            WASP-47 d             156              9830                 14            4.04e+11              2.54e+13                3.62e+10
            WASP-47 e             117              9867                 16            1.17e+10              9.89e+11                1.60e+09
             WASP-8 b             897              9102                  1            2.06e+12              2.09e+13                2.30e+09
             WASP-8 c             459              9535                  6            4.58e+15              9.52e+16                5.99e+13
             XO-2 N b             584              9411                  5            2.81e+11              4.53e+12                2.41e+09
             XO-2 S b             375              9616                  9            2.44e+12              6.25e+13                5.85e+10
             XO-2 S c             790              9209                  1            6.35e+13              7.40e+14                8.04e+10
             XO-2 S d             904              9095                  1            9.65e+15              9.71e+16                1.07e+13
             pi Men c              89              9888                 23            1.49e+11              1.66e+13                3.85e+10
             pi Men d             142              9844                 14            1.30e+13              9.03e+14                1.28e+12
            rho CrB b             728              9269                  3            1.31e+13              1.67e+14                5.41e+10
            rho CrB c             214              9778                  8            1.36e+13              6.19e+14                5.07e+11
            rho CrB e              89              9887                 24            3.59e+11              3.99e+13                9.67e+10
            tau Cet f              98              9885                 17            6.24e+13              6.30e+15                1.08e+13
            tau Cet g              81              9894                 25            5.13e+11              6.27e+13                1.58e+11
            tau Cet h              81              9892                 27            1.71e+12              2.09e+14                5.71e+11
